#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.36369    7.24047       6   11.288    4.173    4.173    6.357    0.247    0.009    0.970    0.970    0.520    0.036    0.031    0.014    0.019    0.015    0.020    0.009
    0.37505   -7.76692       3    5.226   10.946   10.946    1.955    0.104    0.024    0.209    0.209    0.074    0.014    0.002    0.017    0.005    0.001    0.013    0.011
    0.37505   -6.30469       4    0.118    6.220    6.220   16.626    0.131    0.265    0.056    0.056    0.084    0.009    0.026    0.004    0.001    0.018    0.001    0.006
    0.37505    6.18998       5    1.314    6.068    6.068    6.077    0.974    0.009    0.854    0.854    0.384    0.019    0.005    0.020    0.002    0.009    0.023    0.028
    0.37505    7.19063       6   11.361    4.145    4.145    6.329    0.243    0.010    0.971    0.971    0.525    0.037    0.031    0.013    0.018    0.014    0.020    0.008
    0.38642   -7.59859       3    5.019   11.170   11.170    1.849    0.104    0.026    0.213    0.213    0.074    0.015    0.002    0.017    0.005    0.001    0.014    0.011
    0.38642   -6.19821       4    0.105    6.177    6.177   16.897    0.126    0.273    0.058    0.058    0.084    0.009    0.026    0.005    0.001    0.018    0.001    0.006
    0.38642    6.17864       5    1.268    6.333    6.333    5.714    0.981    0.008    0.849    0.849    0.384    0.020    0.005    0.019    0.002    0.009    0.023    0.027
    0.38642    7.14257       6   11.421    4.119    4.119    6.310    0.239    0.011    0.972    0.972    0.530    0.038    0.032    0.012    0.018    0.013    0.019    0.008
    0.39778   -7.43091       3    4.800   11.398   11.398    1.745    0.103    0.027    0.218    0.218    0.074    0.015    0.002    0.017    0.004    0.002    0.015    0.011
    0.39778   -6.09501       4    0.093    6.131    6.131   17.166    0.120    0.280    0.061    0.061    0.085    0.009    0.026    0.005    0.001    0.019    0.001    0.007
    0.39778    6.17120       5    1.218    6.605    6.605    5.353    0.988    0.007    0.845    0.845    0.383    0.020    0.005    0.019    0.003    0.008    0.023    0.026
    0.39778    7.09630       6   11.467    4.094    4.094    6.299    0.236    0.013    0.973    0.973    0.536    0.038    0.032    0.011    0.018    0.013    0.019    0.007
    0.39778    9.83817       7   10.158    4.854    4.854   11.520    0.119    1.679    0.064    0.064    0.246    0.008    0.017    0.032    0.044    0.042    0.033    0.048
    0.40915   -7.26424       3    4.571   11.630   11.630    1.643    0.103    0.029    0.222    0.222    0.073    0.015    0.002    0.018    0.004    0.002    0.015    0.011
    0.40915   -5.99522       4    0.081    6.084    6.084   17.434    0.114    0.288    0.063    0.063    0.085    0.009    0.027    0.005    0.001    0.019    0.001    0.007
    0.40915    6.16751       5    1.164    6.882    6.882    4.995    0.995    0.007    0.840    0.840    0.383    0.021    0.004    0.019    0.003    0.007    0.023    0.026
    0.40915    7.05183       6   11.498    4.070    4.070    6.298    0.233    0.014    0.974    0.974    0.542    0.039    0.032    0.010    0.018    0.012    0.019    0.007
